/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
    106-    963 SGRA         AP-H201-X201    37715        1 [   -21.711240,   228.414895 ] [   389.983468,   525.159718 ]         78.9          0.2        0
    976-   1561 SGRA         AP-H201-X201    37715        1 [   -19.475531,   223.720714 ] [   534.011643,   624.092276 ]         73.5        179.9        0
   1574-   2423 SGRA         AP-H201-X201    37716        1 [   -27.232285,   221.593025 ] [   560.014174,   695.104387 ]         77.6        179.8        0
   2436-   3019 SGRA         AP-H201-X201    37716        1 [   -22.675530,   223.757574 ] [   703.821075,   794.123006 ]         84.3        179.8        0
   3032-   3889 SGRA         AP-H201-X201    37717        1 [   -25.605572,   226.822562 ] [   729.921959,   865.110576 ]         84.6          0.1        0
   3902-   4489 SGRA         AP-H201-X201    37717        1 [   -24.409358,   225.227708 ] [   873.814969,   964.153783 ]         88.8          0.0        0
   4532-   5381 SGRA         AP-H201-X201    37722        1 [    76.680654,   325.985471 ] [   560.001879,   695.178153 ]         78.9        179.2        0
   5394-   5977 SGRA         AP-H201-X201    37722        1 [    75.061601,   325.593613 ] [   703.808780,   794.172183 ]         78.6        179.8        0
   5990-   6843 SGRA         AP-H201-X201    37723        1 [    77.498714,   320.851191 ] [   729.909665,   865.270402 ]         88.3        179.8        0
   6856-   7439 SGRA         AP-H201-X201    37723        1 [    81.393793,   326.603214 ] [   873.876440,   964.252138 ]         84.9          0.9        0
   7452-   8301 SGRA         AP-H201-X201    37724        1 [    73.824825,   321.553842 ] [   899.965031,  1035.202777 ]         80.7          0.2        0
   8314-   8901 SGRA         AP-H201-X201    37724        1 [    76.516872,   324.351188 ] [  1043.833404,  1134.159923 ]         68.9          0.0        0
   8962-   9817 SGRA         AP-H201-X201    37731        1 [   174.436593,   423.030007 ] [   729.995725,   865.282696 ]         80.0          0.6        0
   9830-  10415 SGRA         AP-H201-X201    37731        1 [   180.651046,   424.358853 ] [   873.913323,   964.289021 ]         71.0          0.2        0
  10428-  11283 SGRA         AP-H201-X201    37732        1 [   177.964517,   423.759215 ] [   900.001914,  1035.264248 ]         78.3        179.6        0
  11296-  11883 SGRA         AP-H201-X201    37732        1 [   177.281665,   424.677545 ] [  1043.870287,  1134.344338 ]         80.4          1.3        0
  11978-  12831 SGRA         AP-H201-X201    37750        1 [   174.430038,   426.305152 ] [  1070.020349,  1205.208917 ]         62.3        180.0        0
  12844-  13429 SGRA         AP-H201-X201    37750        1 [   180.788337,   422.579007 ] [  1213.962488,  1304.215241 ]         67.5        179.9        0
  13442-  14299 SGRA         AP-H201-X201    37751        1 [   280.659623,   524.113307 ] [   900.026503,  1035.325720 ]         69.3        179.7        0
  14312-  14899 SGRA         AP-H201-X201    37751        1 [   278.404909,   524.633895 ] [  1044.042407,  1134.356633 ]         74.2          0.5        0
  14912-  15765 SGRA         AP-H201-X201    37752        1 [   276.041730,   525.090323 ] [  1069.946583,  1205.307272 ]         74.8          0.2        0
  15778-  16363 SGRA         AP-H201-X201    37752        1 [   275.396877,   523.292131 ] [  1213.987076,  1304.307449 ]         66.5          0.1        0
  16406-  17261 SGRA         AP-H201-X201    37757        1 [   375.883085,   626.405773 ] [  1240.051078,  1375.479386 ]         59.1          0.4        0
  17274-  17865 SGRA         AP-H201-X201    37757        1 [   376.871987,   628.424735 ] [  1384.011658,  1474.498004 ]         61.9          0.2        0
  17878-  18729 SGRA         AP-H201-X201    37758        1 [   375.536970,   623.495136 ] [  1410.124837,  1545.479379 ]         63.9        179.8        0
  18742-  19329 SGRA         AP-H201-X201    37758        1 [   375.954065,   624.593559 ] [  1554.103859,  1644.497902 ]         60.7        179.8        0
  19342-  20193 SGRA         AP-H201-X201    37759        1 [   474.878843,   725.204294 ] [  1410.272370,  1545.694530 ]         54.2          0.3        0
  20206-  20797 SGRA         AP-H201-X201    37759        1 [   474.886863,   726.568246 ] [  1554.208361,  1644.663875 ]         55.3          0.1        0
  20840-  21701 SGRA         AP-H201-X201    37764        1 [   577.013212,   823.845102 ] [  1070.229353,  1205.885106 ]         55.8          0.5        0
  21714-  22305 SGRA         AP-H201-X201    37764        1 [   574.848016,   824.497470 ] [  1214.343612,  1304.872988 ]         58.4          0.2        0
/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-11.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
    150-   1013 SGRA         AP-H201-X201    37972        1 [   577.332049,   825.143211 ] [  1240.395320,  1375.866658 ]         64.8          0.1        0
   1026-   1617 SGRA         AP-H201-X201    37972        1 [   579.282959,   824.311134 ] [  1384.411224,  1474.922159 ]         77.5          0.3        0
   1648-   2505 SGRA         AP-H201-X201    37975        1 [   676.243284,   924.188244 ] [   900.592042,  1036.124852 ]         50.7          0.1        0
   2518-   3109 SGRA         AP-H201-X201    37975        1 [   675.143613,   924.413672 ] [  1044.607947,  1135.131176 ]         43.7          0.1        0
   3122-   3983 SGRA         AP-H201-X201    37976        1 [   675.891070,   925.899654 ] [  1070.598183,  1206.180170 ]         52.2          0.1        0
   3996-   4585 SGRA         AP-H201-X201    37976        1 [   674.822183,   924.314549 ] [  1214.577205,  1305.161905 ]         61.8          0.2        0
   4628-   5477 SGRA         AP-H201-X201    37985        1 [   676.562601,   925.201182 ] [  1240.604323,  1376.143280 ]         59.8          1.0        0
   5490-   6075 SGRA         AP-H201-X201    37985        1 [   675.957200,   922.571538 ] [  1384.657111,  1475.168046 ]         56.5          0.4        0
   6088-   6947 SGRA         AP-H201-X201    37986        1 [   673.691968,   924.881913 ] [  1410.647347,  1546.174010 ]         51.6          0.2        0
/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-12.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     82-    935 SGRA         AP-H201-X201    38203        1 [   776.774539,  1024.822703 ] [  1070.758009,  1206.438351 ]         63.5        179.2        0
    948-   1539 SGRA         AP-H201-X201    38203        1 [   779.721867,  1025.634706 ] [  1214.712442,  1305.407792 ]         69.0          0.3        0
   1552-   2413 SGRA         AP-H201-X201    38204        1 [   774.226152,  1025.161374 ] [  1240.850210,  1376.352284 ]         58.4          0.3        0
   2426-   3015 SGRA         AP-H201-X201    38204        1 [   776.051382,  1024.639825 ] [  1384.773907,  1475.444669 ]         71.6        179.8        0
   3028-   3881 SGRA         AP-H201-X201    38205        1 [   776.043361,  1024.105597 ] [  1410.801026,  1546.333836 ]         63.8          0.0        0
   3894-   4481 SGRA         AP-H201-X201    38205        1 [   776.918277,  1024.645780 ] [  1554.816931,  1645.463007 ]         70.5        179.4        0
   4542-   5401 SGRA         AP-H201-X201    38214        1 [   773.923500,  1024.997513 ] [  1580.862491,  1716.407499 ]         45.3        180.0        0
   5414-   6005 SGRA         AP-H201-X201    38214        1 [   775.995577,  1025.537792 ] [  1724.872153,  1815.413823 ]         35.6          0.0        0
   6018-   6875 SGRA         AP-H201-X201    38215        1 [   876.712015,  1121.921195 ] [  1240.973154,  1376.671937 ]         50.1          0.3        0
   6888-   7477 SGRA         AP-H201-X201    38215        1 [   876.697703,  1124.388420 ] [  1385.050530,  1475.696703 ]         59.3        179.7        0
   7490-   8345 SGRA         AP-H201-X201    38216        1 [   876.454602,  1123.330818 ] [  1411.083796,  1546.714960 ]         59.7          0.7        0
   8358-   8949 SGRA         AP-H201-X201    38216        1 [   877.353818,  1123.976367 ] [  1555.032082,  1645.678158 ]         56.3        179.9        0
   8996-   9855 SGRA         AP-H201-X201    38227        1 [   875.769481,  1125.324327 ] [  1580.880933,  1716.751741 ]         52.1          1.1        0
   9868-  10453 SGRA         AP-H201-X201    38227        1 [   880.730247,  1123.516962 ] [  1725.068862,  1815.721182 ]         60.6          0.6        0
  10466-  11323 SGRA         AP-H201-X201    38228        1 [   877.669533,  1125.701513 ] [  1750.948449,  1886.671821 ]         55.8        178.8        0
  11336-  11917 SGRA         AP-H201-X201    38228        1 [   876.407442,  1125.802173 ] [  1895.068856,  1985.647409 ]         62.9          0.2        0
  11960-  12817 SGRA         AP-H201-X201    38253        1 [   972.094678,  1220.368992 ] [  1411.298947,  1546.936259 ]         62.5        179.4        0
  12830-  13423 SGRA         AP-H201-X201    38253        1 [   975.960192,  1222.615974 ] [  1555.210350,  1645.991664 ]         55.8          0.3        0
  13436-  14291 SGRA         AP-H201-X201    38254        1 [   975.082779,  1225.695322 ] [  1581.298940,  1716.966892 ]         54.0          1.3        0
  14304-  14885 SGRA         AP-H201-X201    38254        1 [   975.008725,  1221.379241 ] [  1725.265572,  1815.967069 ]         46.1          0.2        0
  14898-  15749 SGRA         AP-H201-X201    38255        1 [   975.341056,  1224.720132 ] [  1751.261955,  1886.960738 ]         43.5          0.3        0
  15762-  16351 SGRA         AP-H201-X201    38255        1 [   975.364877,  1224.634936 ] [  1895.327037,  1985.973209 ]         39.7          0.0        0
  16394-  17249 SGRA         AP-H201-X201    38260        1 [   979.495295,  1225.265885 ] [  1921.298831,  2056.954584 ]         39.7          0.2        0
  17262-  17849 SGRA         AP-H201-X201    38260        1 [   979.040884,  1225.210560 ] [  2065.265558,  2155.997791 ]         39.2          0.4        0
  17862-  18715 SGRA         AP-H201-X201    38261        1 [  1077.328086,  1324.834387 ] [  1581.557121,  1717.268103 ]         41.6        179.8        0
  18728-  19313 SGRA         AP-H201-X201    38261        1 [  1078.377523,  1321.259423 ] [  1725.579077,  1816.348193 ]         56.5          0.5        0
  19326-  20183 SGRA         AP-H201-X201    38262        1 [  1073.733144,  1324.453166 ] [  1751.507841,  1887.182036 ]         52.9          0.5        0
  20196-  20789 SGRA         AP-H201-X201    38262        1 [  1076.057446,  1325.159323 ] [  1895.536040,  1986.286715 ]         54.3        179.9        0
  20832-  21689 SGRA         AP-H201-X201    38267        1 [  1076.110850,  1324.904119 ] [  1921.538571,  2057.335709 ]         43.8          0.9        0
  21702-  22291 SGRA         AP-H201-X201    38267        1 [  1076.090199,  1323.478360 ] [  2065.560622,  2156.311297 ]         47.6          0.4        0
  22304-  23159 SGRA         AP-H201-X201    38268        1 [  1075.521970,  1325.000649 ] [  2091.440209,  2227.329555 ]         49.5        179.8        0
  23184-  24039 SGRA         AP-H201-X201    38272        1 [  1073.705673,  1325.558697 ] [  2091.464798,  2227.286525 ]         49.9        180.0        0
  24052-  24641 SGRA         AP-H201-X201    38272        1 [  1077.435085,  1321.385536 ] [  2235.492997,  2326.280554 ]         51.1          0.2        0
  24714-  25573 SGRA         AP-H201-X201    38284        1 [  1177.270509,  1424.068637 ] [  1751.741434,  1887.729134 ]         55.2          0.3        0
  25586-  26177 SGRA         AP-H201-X201    38284        1 [  1175.499259,  1421.419494 ] [  1895.615954,  1986.680134 ]         51.2          0.4        0
  26208-  27067 SGRA         AP-H201-X201    38287        1 [  1174.975021,  1424.724751 ] [  1921.784457,  2057.692245 ]         60.6          0.1        0
/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-13.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
    108-    965 SGRA         AP-H201-X201    38575        1 [  1176.018695,  1424.025318 ] [  2091.876658,  2227.618472 ]         43.1          0.3        0
    978-   1569 SGRA         AP-H201-X201    38575        1 [  1178.508587,  1425.380481 ] [  2235.904857,  2326.753887 ]         45.1          0.4        0
   1582-   2439 SGRA         AP-H201-X201    38576        1 [  1174.798290,  1424.342186 ] [  2261.950418,  2397.698378 ]         22.6          0.1        0
   2452-   3043 SGRA         AP-H201-X201    38576        1 [  1175.310330,  1421.647420 ] [  2405.757319,  2496.698555 ]         16.4          0.2        0
   3056-   3907 SGRA         AP-H201-X201    38577        1 [  1276.720581,  1523.965724 ] [  1922.251642,  2058.116399 ]         30.5          0.1        0
   3920-   4505 SGRA         AP-H201-X201    38577        1 [  1275.146234,  1520.491324 ] [  2066.187634,  2157.091988 ]         39.6          0.2        0
   4548-   5407 SGRA         AP-H201-X201    38584        1 [  1270.462666,  1523.477792 ] [  2092.184017,  2228.067215 ]         41.8        179.7        0
   5420-   6013 SGRA         AP-H201-X201    38584        1 [  1278.577507,  1524.010483 ] [  2236.236805,  2327.104275 ]         42.5          0.2        0
   6026-   6889 SGRA         AP-H201-X201    38585        1 [  1275.183789,  1525.251827 ] [  2262.116391,  2398.165563 ]         36.5        179.3        0
   6902-   7491 SGRA         AP-H201-X201    38585        1 [  1279.725875,  1525.207837 ] [  2405.935587,  2497.135004 ]         38.5          0.4        0
   7504-   8357 SGRA         AP-H201-X201    38586        1 [  1274.703541,  1525.932338 ] [  2432.177856,  2568.024172 ]         47.8          0.5        0
   8370-   8955 SGRA         AP-H201-X201    38586        1 [  1277.055410,  1525.436819 ] [  2576.083112,  2667.122703 ]         41.0          0.6        0
   9038-   9887 SGRA         AP-H201-X201    38615        1 [  1374.706475,  1625.487201 ] [  2092.528258,  2228.497517 ]         45.6          0.4        0
   9900-  10491 SGRA         AP-H201-X201    38615        1 [  1374.597651,  1625.850653 ] [  2236.488839,  2327.503841 ]         47.8          0.4        0
  10504-  11363 SGRA         AP-H201-X201    38616        1 [  1377.699091,  1626.068109 ] [  2262.528252,  2398.491363 ]         40.4        180.0        0
  11376-  11957 SGRA         AP-H201-X201    38616        1 [  1377.027800,  1624.822731 ] [  2406.531862,  2497.497687 ]         31.1          0.0        0
  12000-  12849 SGRA         AP-H201-X201    38621        1 [  1374.978680,  1622.625886 ] [  2432.558981,  2568.442179 ]         28.0        179.4        0
  12862-  13449 SGRA         AP-H201-X201    38621        1 [  1375.105369,  1624.406836 ] [  2576.513414,  2667.503828 ]         28.1          0.4        0
  13462-  14321 SGRA         AP-H201-X201    38622        1 [  1374.981081,  1624.461392 ] [  2602.558974,  2738.522086 ]         24.5          0.7        0
  14334-  14919 SGRA         AP-H201-X201    38622        1 [  1376.407897,  1622.103760 ] [  2746.544143,  2837.485380 ]         19.7          0.3        0
